bbl,longitude,latitude,ntaname,ntacode,county_fips
1014500050,-73.9562901,40.7710881,Lenox Hill-Roosevelt Island,MN31,061
1004610024,-73.9893241,40.7274928,East Village,MN22,061
5055980029,-74.16813,40.5472821,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,085
1003910056,-73.9799044,40.7255565,Lower East Side,MN28,061
1005610012,-73.9930542,40.7321729,West Village,MN23,061
1012130107,-73.9760407,40.7849658,Upper West Side,MN12,061
1019220049,-73.9537506,40.8043752,Central Harlem South,MN11,061
1015550040,-73.9474943,40.7816462,Yorkville,MN32,061
1003720055,-73.9795343,40.7206214,Lower East Side,MN28,061
3011440081,-73.9702633,40.6791871,Prospect Heights,BK64,047
1009210051,-73.9837306,40.7324849,Gramercy,MN21,061
2038190061,-73.8487186,40.8309832,Westchester-Unionport,BX59,005
3007330025,-73.9985118,40.6440825,Sunset Park East,BK34,047
2028490028,-73.9120322,40.8469874,Mount Hope,BX41,005
1004040025,-73.980113,40.7274971,East Village,MN22,061
2027630160,-73.8868906,40.8149292,Hunts Point,BX27,005
3011810055,-73.9582265,40.6711961,Crown Heights North,BK61,047
1015260035,-73.9552333,40.7748864,Yorkville,MN32,061
1003940058,-73.9782695,40.7272113,Lower East Side,MN28,061
1015760014,-73.9488276,40.7710274,Yorkville,MN32,061
4097360141,-73.8128229,40.7123246,Briarwood-Jamaica Hills,QN35,081
4032530062,-73.8450519,40.7188172,Forest Hills,QN17,081
1016280026,-73.948269,40.788341,East Harlem South,MN33,061
1012160001,-73.9751768,40.7871038,Upper West Side,MN12,061
1021080075,-73.941104,40.8335678,Washington Heights South,MN36,061
2029610010,-73.8992869,40.8308079,Morrisania-Melrose,BX35,005
4013150044,-73.9119678,40.7454214,Hunters Point-Sunnyside-West Maspeth,QN31,081
1011450105,-73.9804406,40.7792494,Lincoln Square,MN14,061
1021550019,-73.9309846,40.848562,Washington Heights North,MN35,061
1019820050,-73.957139,40.8151715,Manhattanville,MN06,061
2028400018,-73.9173526,40.8382686,West Concourse,BX63,005
1014000057,-73.9653724,40.7664855,Upper East Side-Carnegie Hill,MN40,061
3086750068,-73.9628847,40.5791896,Brighton Beach,BK19,047
1003440147,-73.9844155,40.7198042,Lower East Side,MN28,061
1002140025,-74.0088386,40.7207683,SoHo-TriBeCa-Civic Center-Little Italy,MN24,061
3036100009,-73.9123037,40.6574958,Brownsville,BK81,047
4017270008,-73.856238,40.7576014,North Corona,QN26,081
1004110037,-73.9887444,40.7203701,Chinatown,MN27,061
1008240039,-73.9901808,40.7412826,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
1013930027,-73.9618257,40.7755475,Upper East Side-Carnegie Hill,MN40,061
1019490026,-73.9533032,40.8087721,Central Harlem South,MN11,061
1020320060,-73.9405816,40.8237167,Central Harlem North-Polo Grounds,MN03,061
2024280037,-73.9131589,40.8283846,East Concourse-Concourse Village,BX14,005
1010110042,-73.9773796,40.7658353,Midtown-Midtown South,MN17,061
4012800060,-73.8861152,40.7507729,Jackson Heights,QN28,081
2031490096,-73.8997111,40.8538391,Mount Hope,BX41,005
1005280086,-74.0044956,40.7292691,West Village,MN23,061
1020760038,-73.9483379,40.8252328,Hamilton Heights,MN04,061
2024340045,-73.9136554,40.8300153,East Concourse-Concourse Village,BX14,005
1003310065,-73.9824397,40.7153602,Lower East Side,MN28,061
4097530033,-73.8021173,40.7036991,Jamaica,QN61,081
1018230001,-73.9534096,40.8013092,Central Harlem South,MN11,061
3067960059,-73.959398,40.6061698,Homecrest,BK25,047
1012510001,-73.9770998,40.7921929,Upper West Side,MN12,061
3006460040,-73.9943772,40.6608228,Sunset Park West,BK32,047
2029850069,-73.8845799,40.8411966,East Tremont,BX17,005
4000190019,-73.9566644,40.7450681,Hunters Point-Sunnyside-West Maspeth,QN31,081
1003860020,-73.9815323,40.7226172,Lower East Side,MN28,061
1019210009,-73.9422216,40.8158073,Central Harlem North-Polo Grounds,MN03,061
1021790158,-73.9382005,40.8549064,Washington Heights North,MN35,061
1017280025,-73.9408863,40.8102239,Central Harlem North-Polo Grounds,MN03,061
1018430059,-73.9614649,40.8001045,Morningside Heights,MN09,061
3014520076,-73.9185011,40.6737137,Ocean Hill,BK79,047
1015110069,-73.9582787,40.7778629,Upper East Side-Carnegie Hill,MN40,061
2032700049,-73.9001203,40.8846844,Spuyten Duyvil-Kingsbridge,BX29,005
1010100053,-73.9786541,40.7655748,Midtown-Midtown South,MN17,061
3086690068,-73.9677709,40.5769129,Brighton Beach,BK19,047
4049490064,-73.8329807,40.7650796,Flushing,QN22,081
1015400013,-73.9489985,40.7835956,Yorkville,MN32,061
1021100074,-73.938044,40.8366238,Washington Heights South,MN36,061
1013920036,-73.9616385,40.7746307,Upper East Side-Carnegie Hill,MN40,061
1014180001,-73.9642582,40.7640973,Lenox Hill-Roosevelt Island,MN31,061
4022660100,-73.8336599,40.7171846,Forest Hills,QN17,081
2031810013,-73.9036619,40.8564637,Fordham South,BX40,005
3018880020,-73.9687094,40.6944147,Clinton Hill,BK69,047
1009140005,-73.9780146,40.7450686,Murray Hill-Kips Bay,MN20,061
3002080331,-73.9966497,40.6982726,Brooklyn Heights-Cobble Hill,BK09,047
3041170017,-73.874543,40.6862178,Cypress Hills-City Line,BK83,047
1012100015,-73.9768539,40.7828306,Upper West Side,MN12,061
1019160117,-73.9439226,40.8123169,Central Harlem North-Polo Grounds,MN03,061
3038080036,-73.8916959,40.6659074,East New York (Pennsylvania Ave),BK85,047
1007450016,-74.0009816,40.7449143,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
3006690062,-73.9995243,40.6570983,Sunset Park West,BK32,047
1016020009,-73.9547263,40.7877728,East Harlem South,MN33,061
1015100048,-73.9570772,40.7764901,Upper East Side-Carnegie Hill,MN40,061
1010630054,-73.9891157,40.7665835,Clinton,MN15,061
3019160001,-73.9677416,40.689773,Clinton Hill,BK69,047
3020500104,-73.9821637,40.6956143,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,047
1014020001,-73.9655232,40.7680583,Upper East Side-Carnegie Hill,MN40,061
1011210008,-73.9797776,40.7747232,Lincoln Square,MN14,061
1014550012,-73.960315,40.7599734,Lenox Hill-Roosevelt Island,MN31,061
2024250020,-73.9119043,40.8289189,East Concourse-Concourse Village,BX14,005
3064850003,-74.0160075,40.6035381,Bath Beach,BK27,047
3031760044,-73.9236188,40.7064047,Bushwick North,BK77,047
2031800013,-73.9038476,40.855569,Fordham South,BX40,005
1017750045,-73.9361624,40.8052863,East Harlem North,MN34,061
4050510007,-73.8207002,40.7595058,Murray Hill,QN51,081
1018870001,-73.9745487,40.7960789,Upper West Side,MN12,061
4012770058,-73.8888984,40.7505067,Jackson Heights,QN28,081
1013870031,-73.9642866,40.7716096,Upper East Side-Carnegie Hill,MN40,061
1004170053,-73.9884374,40.7225467,Chinatown,MN27,061
3072440058,-73.9613473,40.5859083,Brighton Beach,BK19,047
3052110044,-73.953465,40.6393932,Erasmus,BK95,047
1001740023,-74.0047185,40.7177576,SoHo-TriBeCa-Civic Center-Little Italy,MN24,061
3022010032,-73.9552754,40.7068413,Williamsburg,BK72,047
1008830027,-73.9825265,40.7420694,Gramercy,MN21,061
1009100041,-73.978528,40.7423514,Murray Hill-Kips Bay,MN20,061
4065270050,-73.8229924,40.7350179,Kew Gardens Hills,QN37,081
3023800014,-73.9617197,40.7151081,North Side-South Side,BK73,047
2024480016,-73.9164045,40.8306349,East Concourse-Concourse Village,BX14,005
2027400071,-73.8899625,40.8186046,Hunts Point,BX27,005
4052030013,-73.8173304,40.7536075,East Flushing,QN52,081
3056330068,-73.9941883,40.6368718,Borough Park,BK88,047
1015480014,-73.9507621,40.7768196,Yorkville,MN32,061
2024560095,-73.9183617,40.8317534,East Concourse-Concourse Village,BX14,005
1014580044,-73.9593425,40.7623445,Lenox Hill-Roosevelt Island,MN31,061
1003100027,-73.989766,40.7161433,Chinatown,MN27,061
2033560001,-73.8744605,40.8794416,Norwood,BX43,005
1021610128,-73.9286065,40.8550655,Washington Heights North,MN35,061
3007830028,-74.0107421,40.6459924,Sunset Park West,BK32,047
3030970011,-73.9420838,40.7043157,East Williamsburg,BK90,047
2032010003,-73.9007365,40.8643577,Kingsbridge Heights,BX30,005
1015800043,-73.9473992,40.7740707,Yorkville,MN32,061
2029310098,-73.9021832,40.8320427,Morrisania-Melrose,BX35,005
1003770067,-73.9782236,40.7240521,Lower East Side,MN28,061
2052280012,-73.8346005,40.8789028,Co-op City,BX13,005
1020540028,-73.9413799,40.8280977,Hamilton Heights,MN04,061
2025080024,-73.9264975,40.8335896,Highbridge,BX26,005
5000010250,-74.0747937,40.6384561,West New Brighton-New Brighton-St. George,SI22,085
3058510047,-74.0206125,40.6352397,Bay Ridge,BK31,047
2031100089,-73.8850495,40.8475702,East Tremont,BX17,005
1014660037,-73.9553468,40.7672149,Lenox Hill-Roosevelt Island,MN31,061
1015540043,-73.9482277,40.7811333,Yorkville,MN32,061
2031640001,-73.9006016,40.8578773,Fordham South,BX40,005
1020020057,-73.9554475,40.8217033,Manhattanville,MN06,061
3059420007,-74.0224912,40.6291047,Bay Ridge,BK31,047
1018470063,-73.957125,40.8032018,Central Harlem South,MN11,061
1006300007,-74.0082737,40.7331994,West Village,MN23,061
4085130020,-73.7156793,40.7469568,Glen Oaks-Floral Park-New Hyde Park,QN44,081
1021790261,-73.9387748,40.8553623,Washington Heights North,MN35,061
1010560136,-73.9907914,40.7616377,Clinton,MN15,061
1014980037,-73.9572766,40.780846,Upper East Side-Carnegie Hill,MN40,061
3051860034,-73.956444,40.6406268,Flatbush,BK42,047
4015840010,-73.8771091,40.7416401,Elmhurst,QN29,081
3046530027,-73.9327861,40.6539358,East Flatbush-Farragut,BK91,047
1006210013,-74.0052898,40.7350468,West Village,MN23,061
1004110003,-73.9886758,40.7206529,Chinatown,MN27,061
1014390042,-73.9608686,40.7637942,Lenox Hill-Roosevelt Island,MN31,061
1015180039,-73.9525244,40.7813876,Upper East Side-Carnegie Hill,MN40,061
3014310045,-73.9205853,40.676287,Ocean Hill,BK79,047
2024780040,-73.9209402,40.8331001,West Concourse,BX63,005
4012790030,-73.886546,40.7500185,Jackson Heights,QN28,081
1018740037,-73.9679309,40.7986271,Upper West Side,MN12,061
1007190036,-74.002602,40.745584,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
1005430062,-74.0003536,40.7307898,West Village,MN23,061
3011710048,-73.9672908,40.6752091,Prospect Heights,BK64,047
1004110006,-73.9885784,40.720845,Chinatown,MN27,061
1003910047,-73.9792803,40.7252929,Lower East Side,MN28,061
1018950001,-73.9669917,40.806216,Morningside Heights,MN09,061
1013690029,-73.9607998,40.7580467,Turtle Bay-East Midtown,MN19,061
3024950023,-73.9569269,40.7354039,Greenpoint,BK76,047
3050610006,-73.962855,40.6521599,Flatbush,BK42,047
1020430014,-73.943883,40.8207047,Central Harlem North-Polo Grounds,MN03,061
4030850036,-73.8590701,40.7275224,Rego Park,QN18,081
3039490010,-73.8894128,40.6776172,East New York,BK82,047
1018280003,-73.956761,40.8019473,Central Harlem South,MN11,061
3012070050,-73.9480742,40.6770109,Crown Heights North,BK61,047
3021310001,-73.9652862,40.7101714,North Side-South Side,BK73,047
1012210001,-73.972514,40.7903969,Upper West Side,MN12,061
4047720001,-73.8255836,40.7734539,Murray Hill,QN51,081
1004500015,-73.9864628,40.7286344,East Village,MN22,061
1015800006,-73.9478217,40.7739199,Yorkville,MN32,061
1013230036,-73.9697601,40.7551565,Turtle Bay-East Midtown,MN19,061
1010770022,-73.9935491,40.7640368,Clinton,MN15,061
2040320004,-73.8663212,40.8449069,Van Nest-Morris Park-Westchester Square,BX37,005
3066820013,-73.9659101,40.6045278,Homecrest,BK25,047
1013900037,-73.9625056,40.7736786,Upper East Side-Carnegie Hill,MN40,061
1003790015,-73.9768883,40.7253529,Lower East Side,MN28,061
3019050120,-73.9630882,40.6929912,Clinton Hill,BK69,047
2032130009,-73.9039953,40.8633971,Kingsbridge Heights,BX30,005
1015070013,-73.9550194,40.7869467,Upper East Side-Carnegie Hill,MN40,061
4008350115,-73.9124107,40.7736102,Steinway,QN72,081
1014240034,-73.9604367,40.7677108,Lenox Hill-Roosevelt Island,MN31,061
1000700043,-74.0058791,40.7068032,Battery Park City-Lower Manhattan,MN25,061
1013810001,-73.9693388,40.7686852,Upper East Side-Carnegie Hill,MN40,061
1015680015,-73.9468943,40.7777813,Yorkville,MN32,061
1005200045,-74.0037775,40.727916,SoHo-TriBeCa-Civic Center-Little Italy,MN24,061
1018820038,-73.9642369,40.8037504,Morningside Heights,MN09,061
2028440050,-73.9152124,40.8416925,West Concourse,BX63,005
3002350052,-73.9951603,40.6973311,Brooklyn Heights-Cobble Hill,BK09,047
1018930032,-73.9681666,40.8042017,Morningside Heights,MN09,061
2028740014,-73.9222257,40.8432262,Highbridge,BX26,005
2030300141,-73.8958483,40.8552629,Fordham South,BX40,005
1014440031,-73.9577984,40.7666038,Lenox Hill-Roosevelt Island,MN31,061
1020400004,-73.9372673,40.8286472,Central Harlem North-Polo Grounds,MN03,061
4063050024,-73.7676901,40.7620982,Bayside-Bayside Hills,QN46,081
4047690001,-73.8253949,40.7752075,Murray Hill,QN51,081
3083990040,-73.9200403,40.6136369,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,047
1015700021,-73.945572,40.7788484,Yorkville,MN32,061
4012160014,-73.9019242,40.7479027,Woodside,QN63,081
1003910057,-73.980027,40.7256005,Lower East Side,MN28,061
1018770042,-73.9669908,40.8006662,Upper West Side,MN12,061
3003850060,-73.989832,40.685907,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,047
1010740001,-73.996484,40.7627523,Clinton,MN15,061
4033410060,-73.8361677,40.71547,Forest Hills,QN17,081
4014430047,-73.8844849,40.7522809,Jackson Heights,QN28,081
3013680059,-73.9259722,40.6723711,Crown Heights North,BK61,047
1009020049,-73.9827587,40.7375516,Gramercy,MN21,061
1021250045,-73.9369382,40.8403889,Washington Heights South,MN36,061
1018830052,-73.964807,40.8047991,Morningside Heights,MN09,061
3002260013,-73.993238,40.698761,Brooklyn Heights-Cobble Hill,BK09,047
1021280055,-73.9362173,40.8422083,Washington Heights South,MN36,061
1010600038,-73.9892171,40.7641709,Clinton,MN15,061
1003970025,-73.9843825,40.7221592,East Village,MN22,061
1015180027,-73.9533802,40.7813386,Upper East Side-Carnegie Hill,MN40,061
3013870052,-73.9228357,40.6693937,Crown Heights North,BK61,047
3021460027,-73.9648183,40.7082856,North Side-South Side,BK73,047
1019290003,-73.9516522,40.8089553,Central Harlem South,MN11,061
3060160006,-74.0323104,40.6259761,Bay Ridge,BK31,047
4018370104,-73.8767076,40.7382609,Elmhurst,QN29,081
1010460017,-73.9850978,40.7662043,Clinton,MN15,061
1015230014,-73.9519911,40.7848458,Upper East Side-Carnegie Hill,MN40,061
1007710028,-73.9975135,40.7434486,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
1015820034,-73.9458819,40.7750883,Yorkville,MN32,061
1014460038,-73.9573029,40.7680391,Lenox Hill-Roosevelt Island,MN31,061
1014040001,-73.9646526,40.7691477,Upper East Side-Carnegie Hill,MN40,061
1018830050,-73.9646445,40.8047304,Morningside Heights,MN09,061
3066120052,-73.968263,40.6095789,Ocean Parkway South,BK46,047
1012480049,-73.9790146,40.7900085,Upper West Side,MN12,061
1008970069,-73.9852383,40.7347386,Gramercy,MN21,061
2030370057,-73.8950947,40.8540463,Claremont-Bathgate,BX01,005
3011530027,-73.964294,40.6771159,Prospect Heights,BK64,047
3030830006,-73.9353263,40.7065491,Bushwick South,BK78,047
4054060045,-73.8148014,40.755813,East Flushing,QN52,081
2028200027,-73.9102205,40.8423035,East Concourse-Concourse Village,BX14,005
1003720039,-73.9786541,40.7205252,Lower East Side,MN28,061
1014510037,-73.9547736,40.771244,Lenox Hill-Roosevelt Island,MN31,061
3064390049,-74.0040549,40.601648,Bath Beach,BK27,047
4161100044,-73.8099712,40.592842,Hammels-Arverne-Edgemere,QN12,081
1015630037,-73.9492507,40.7748538,Yorkville,MN32,061
3031780020,-73.9215964,40.7086184,Bushwick North,BK77,047
4043420010,-73.8303107,40.7716357,Flushing,QN22,081
1000970030,-74.0017457,40.707517,Battery Park City-Lower Manhattan,MN25,061
1021320030,-73.9334121,40.846354,Washington Heights South,MN36,061
4006190033,-73.9198629,40.7674812,Old Astoria,QN71,081
4003420029,-73.9311231,40.7566659,Queensbridge-Ravenswood-Long Island City,QN68,081
1016020020,-73.9537118,40.7873469,East Harlem South,MN33,061
1014630001,-73.9574816,40.7652313,Lenox Hill-Roosevelt Island,MN31,061
1019530008,-73.9527157,40.8119448,Manhattanville,MN06,061
2030390060,-73.892184,40.8567582,Claremont-Bathgate,BX01,005
1020820007,-73.9472108,40.8294537,Hamilton Heights,MN04,061
3046100001,-73.9276063,40.6613875,Rugby-Remsen Village,BK96,047
3011550054,-73.9599358,40.6762389,Crown Heights North,BK61,047
3053290062,-73.9739357,40.6458993,Windsor Terrace,BK40,047
1014940069,-73.9615275,40.7792336,Upper East Side-Carnegie Hill,MN40,061
1015510032,-73.9486158,40.7788306,Yorkville,MN32,061
1007950061,-73.9958464,40.7415025,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
1010640015,-73.98852,40.766825,Clinton,MN15,061
1002290020,-74.0030052,40.7216442,SoHo-TriBeCa-Civic Center-Little Italy,MN24,061
2031570001,-73.9009101,40.8546306,Mount Hope,BX41,005
1015830009,-73.9461737,40.7758926,Yorkville,MN32,061
3009220017,-74.0000432,40.6468273,Sunset Park East,BK34,047
3050890012,-73.9582391,40.6510137,Prospect Lefferts Gardens-Wingate,BK60,047
1020660051,-73.9430992,40.8288589,Hamilton Heights,MN04,061
4005990043,-73.9306402,40.7559767,Queensbridge-Ravenswood-Long Island City,QN68,081
1013380040,-73.9695596,40.7517008,Turtle Bay-East Midtown,MN19,061
3010160002,-73.9891135,40.6694383,Park Slope-Gowanus,BK37,047
1004660021,-73.9875737,40.7306409,East Village,MN22,061
1005760025,-73.9955942,40.7356095,West Village,MN23,061
3061530200,-74.0275953,40.6097885,Bay Ridge,BK31,047
1020840052,-73.9457427,40.8307897,Hamilton Heights,MN04,061
3013660020,-73.9326478,40.6730916,Crown Heights North,BK61,047
1014090009,-73.9617663,40.7722044,Upper East Side-Carnegie Hill,MN40,061
4042600025,-73.8460356,40.7755224,College Point,QN23,081
4083530001,-73.7290994,40.7580615,Douglas Manor-Douglaston-Little Neck,QN45,081
1015560035,-73.9466417,40.7821014,Yorkville,MN32,061
2055140002,-73.8119758,40.8233564,Schuylerville-Throgs Neck-Edgewater Park,BX52,005
1014320001,-73.9578196,40.7730265,Lenox Hill-Roosevelt Island,MN31,061
3001850039,-73.9816869,40.6851402,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,047
1014940050,-73.9601342,40.7785936,Upper East Side-Carnegie Hill,MN40,061
3012900001,-73.9505227,40.6664885,Crown Heights South,BK63,047
